hour,AUC,Accuracy,Acc_class_0,Acc_class_1
6,0.579861111111111,0.4666666666666667,0.375,0.6
7,0.5151111111111112,0.5352380952380952,0.6066666666666667,0.4000000000000001
8,0.7213333333333333,0.6224999999999999,0.74,0.4133333333333333
9,0.7636363636363637,0.6673202614379085,0.7090909090909091,0.6095238095238095
10,0.7955357142857145,0.6657894736842105,0.6615384615384615,0.6857142857142857
11,0.7291012558869701,0.629004329004329,0.621978021978022,0.6357142857142857
12,0.7702083333333334,0.7289855072463769,0.7691666666666667,0.65
13,0.7779411764705882,0.6381538461538462,0.7110294117647059,0.5111111111111112
14,0.7941911764705882,0.7168091168091169,0.8,0.58
15,0.7924539512774806,0.7253694581280787,0.7830065359477125,0.6363636363636364
16,0.7944001417685629,0.7533333333333333,0.7508771929824561,0.7590909090909091
17,0.8000033738191632,0.6973484848484849,0.6968421052631578,0.7
18,0.7626373626373626,0.703030303030303,0.7676190476190476,0.6
19,0.787046287046287,0.681344537815126,0.7735930735930736,0.5318681318681319
20,0.7591605495953322,0.698948948948949,0.6762845849802371,0.7333333333333333
21,0.7631728778467908,0.6829302987197725,0.6514492753623189,0.7380952380952381
22,0.7903174603174603,0.7269905533063428,0.75,0.6876190476190475
23,0.8061333333333334,0.7285897435897436,0.728,0.7276190476190475
24,0.8133948717948718,0.7574390243902439,0.8516923076923076,0.6
25,0.7782153846153846,0.7228048780487806,0.6775384615384615,0.8
26,0.7580564102564102,0.6610975609756098,0.7741538461538461,0.48
27,0.8065064102564102,0.7440185830429732,0.7615384615384615,0.7191666666666666
28,0.7889743589743589,0.7150987224157955,0.776923076923077,0.6158333333333333
29,0.7923824786324787,0.7224157955865274,0.7014245014245014,0.7566666666666666
30,0.8064696106362772,0.7415282392026578,0.784045584045584,0.67
31,0.8004629629629629,0.6837209302325582,0.6296296296296295,0.775
32,0.8027777777777778,0.6930232558139535,0.6666666666666667,0.7375
33,0.8064270152505445,0.7310782241014799,0.762962962962963,0.6779411764705883
34,0.7589596949891069,0.7083509513742072,0.6962962962962962,0.7257352941176471
35,0.7837496109554933,0.6865750528541226,0.6608465608465608,0.7264705882352941
36,0.7867676237161533,0.7051797040169132,0.6835978835978836,0.7382352941176471
37,0.8166355431061314,0.7603594080338266,0.8007936507936508,0.6904411764705882
38,0.7873900949268596,0.7011627906976744,0.6182539682539683,0.8375
39,0.7999980547774665,0.7119450317124736,0.7230158730158729,0.6889705882352941
40,0.8033924680983505,0.7215644820295982,0.6367724867724867,0.8639705882352942
41,0.785530462184874,0.7102020202020202,0.6785714285714286,0.7661764705882353
42,0.7889117284844972,0.6535353535353535,0.5544334975369458,0.8264705882352942
43,0.8132606490872212,0.7333333333333334,0.7224137931034483,0.7522058823529412
44,0.8032589587559162,0.6997101449275362,0.6501149425287356,0.7897058823529411
45,0.8001487491548342,0.7068599033816424,0.659080459770115,0.7933823529411764
46,0.8031592292089249,0.7330434782608696,0.6995402298850575,0.7933823529411764
47,0.8363953684922244,0.7150724637681158,0.6305747126436783,0.8661764705882353
48,0.8319726166328602,0.7587419056429232,0.7110344827586207,0.8433823529411765
49,0.810857843137255,0.7291396854764107,0.6666666666666667,0.8426470588235293
50,0.8065132827324477,0.6953746530989824,0.6210752688172043,0.8338235294117646
51,0.8193856736242886,0.7518038852913969,0.7488172043010752,0.7617647058823529
52,0.8072264389626819,0.7295212765957446,0.7329032258064517,0.7220588235294118
53,0.8246631878557874,0.7467198581560284,0.7344086021505377,0.7727941176470587
54,0.8387128399746995,0.7506205673758864,0.7150537634408602,0.8191176470588235
55,0.8236084756483238,0.7555851063829787,0.7417204301075268,0.7838235294117648
56,0.8294370651486401,0.7213652482269503,0.6561290322580644,0.8448529411764707
57,0.8223879269449716,0.6898936170212766,0.6461693548387097,0.7713235294117646
58,0.829849828036053,0.7531914893617021,0.7375,0.7816176470588235
59,0.8321550343927895,0.7574468085106383,0.7693548387096774,0.7323529411764705
60,0.838544384487666,0.774113475177305,0.7949596774193548,0.7338235294117647
61,0.8491972545066414,0.7696808510638299,0.7556451612903226,0.7955882352941176
62,0.8511207305502847,0.7657801418439716,0.7506048387096774,0.7941176470588236
63,0.8718105135199241,0.775,0.7770161290322581,0.7713235294117646
64,0.8762978830645161,0.7916666666666667,0.847983870967742,0.6882352941176471
65,0.873863703747628,0.7833333333333334,0.8407258064516128,0.6757352941176471
66,0.8845232447817837,0.8041666666666668,0.860483870967742,0.7007352941176471
67,0.8869685424573056,0.8041666666666666,0.8163306451612904,0.7838235294117647
68,0.8680265654648955,0.7875000000000001,0.8030241935483872,0.7610294117647058
69,0.8805836397058823,0.7916666666666667,0.8094758064516128,0.7610294117647058
70,0.8931740690227704,0.8333333333333334,0.891733870967742,0.7227941176470588
71,0.8756834084440228,0.7875,0.7387096774193549,0.8786764705882353
72,0.8797453154648955,0.8208333333333334,0.8092741935483871,0.8433823529411765
73,0.8830719283681214,0.7916666666666666,0.8350806451612904,0.7132352941176471
74,0.8694890002371917,0.7916666666666666,0.7969758064516129,0.7845588235294118
75,0.8743432756166983,0.7916666666666666,0.7899193548387097,0.7963235294117647
76,0.8563189338235293,0.7708333333333334,0.7784274193548387,0.7617647058823529
77,0.8592312025616697,0.7791666666666666,0.7586693548387096,0.8205882352941177
78,0.8806058764231498,0.7916666666666667,0.8409274193548388,0.6985294117647058
79,0.8708276506166983,0.7749999999999999,0.7451612903225806,0.8301470588235293
80,0.8731269271821631,0.7625,0.7383064516129032,0.8066176470588236
81,0.8899030479127135,0.7958333333333333,0.7786290322580645,0.8338235294117646
82,0.8561284392789373,0.7125,0.7032258064516129,0.7389705882352942
83,0.8653144271821631,0.6916666666666667,0.6336693548387097,0.8095588235294118
